item_code;minimum_inventory;minimum_inventory_ceiling
12005019006;14;14
12005019008;14;14
12005056001;33;33
12005056002;11;11
12005056003;8;8
12005056004;16;16
12005072003;8;8
12005072005;4;4
12005082002;4;4
12005082003;11;11
12005082006;14;14
12005082007;18;18
12005082008;4;4
12005082010;14;14
12005082011;12;12
12005082013;8;8
12005083002;12;12
12005084001;8;8
12005084002;4;4
12005084004;29;29
12005084005;4;4
12005084006;4;4
12005084007;17;17
12005084008;4;4
12005084009;12;12
12005089004;4;4
12005093001;26;26
12005093002;4;4
12005093004;31;31
12005093005;8;8
12005093007;23;23
12005093008;8;8
12005093010;4;4
12005107006;8;8
12005107007;8;8
12005108002;8;8
12005108003;46;46
12005109003;4;4
12006020001;12;12
12006048001;4;4
12006067001;4;4
12006135001;8;8
12006144001;4;4
12010001001;181;181
12010003001;4;4
12010009001;14;14
12010010001;14;14
12010013001;35;35
12010020001;37;37
12010022001;95;95
12010023002;100;100
12010034001;54;54
12010036001;91;91
12010037001;91;91
12010040001;27;27
12010041001;29;29
12010042001;53;53
12010049001;40;40
12010051001;58;58
12010052001;10;10
12010053001;11;11
12010054001;11;11
12010055001;11;11
12010056001;11;11
12010058001;36;36
12010059001;55;55
12010060001;89;89
12010065001;68;68
12010067001;68;68
12010068001;68;68
12010071001;10;10
12010074001;45;45
12010077001;45;45
12010079001;45;45
12010080001;101;101
12010084001;4;4
12010106001;120;120
12010107001;24;24
12010110001;20;20
12010113001;8;8
12010118001;9;9
12010119001;4;4
12010123001;12;12
12010124001;11;11
12010137001;14;14
12010144001;29;29
12010145001;11;11
12010147001;8;8
12010149001;14;14
12010153001;12;12
12010156001;4;4
12010161001;12;12
12010163001;15;15
12010171001;4;4
12010172001;10;10
12010173001;9;9
12010175001;4;4
12010176001;14;14
12010180001;8;8
12010192001;12;12
12010193001;13;13
12010198001;15;15
12010200001;41;41
12010206001;8;8
12010214001;4;4
12010227001;4;4
12010228001;4;4
12010234001;10;10
12010243001;4;4
12010261001;24;24
12010263001;4;4
12011003001;55;55
12011005001;45;45
12011018001;10;10
12011022001;24;24
12011033001;51;51
12011034001;19;19
12011038001;4;4
12011042001;9;9
12011044001;9;9
12011047001;4;4
12011050001;35;35
12011051001;19;19
12011056001;31;31
12011060001;13;13
12011061001;4;4
12011062001;11;11
12011065001;24;24
12011068001;15;15
12011069001;12;12
12011074001;43;43
12011075001;16;16
12011084001;18;18
12011085001;28;28
12011088001;4;4
12011092001;4;4
12011096001;35;35
12011100001;23;23
12011101001;14;14
12011102001;4;4
12011103001;13;13
12011109001;7;7
12011111001;4;4
12011117001;43;43
12011118001;12;12
12011120001;16;16
12011131001;4;4
12011133001;26;26
12011134001;4;4
12011136001;10;10
12011139001;11;11
12011140001;4;4
12011142001;4;4
12011144001;8;8
12011150001;8;8
12011152001;11;11
12011153001;8;8
12011154001;8;8
12011158002;18;18
12011159001;18;18
12011163001;21;21
12011168001;50;50
12011169001;8;8
12011171001;8;8
12011172001;21;21
12011173001;8;8
12011174001;14;14
12011177001;4;4
12011178001;4;4
12011179001;29;29
12011182001;42;42
12011184001;24;24
12011186001;4;4
12011189001;30;30
12011196001;4;4
12011199001;14;14
12011204001;4;4
12011210001;13;13
12011213001;9;9
12011215001;26;26
12011216001;8;8
12011220001;12;12
12011221001;10;10
12011226001;26;26
12011230001;8;8
12011231001;12;12
12011235001;8;8
12011237001;21;21
12011240001;4;4
12011243001;10;10
12011244001;4;4
12011247001;14;14
12011251001;10;10
12011252001;11;11
12011254001;24;24
12011255001;34;34
12011257001;27;27
12011262001;18;18
12011263001;8;8
12011264001;4;4
12011265001;12;12
12011267001;11;11
12011268001;12;12
12011275001;9;9
12011276001;10;10
12011277001;29;29
12011291001;11;11
12011293001;4;4
12011299001;21;21
12011304001;4;4
12011308001;4;4
12011310001;16;16
12011322001;4;4
12011329001;60;60
12011333001;14;14
12011334001;13;13
12011335001;4;4
12011337001;10;10
12011338001;11;11
12011339001;4;4
12011341001;19;19
12011342001;4;4
12011345001;4;4
12011347001;39;39
12011349001;13;13
12011351001;4;4
12011354001;25;25
12011355001;25;25
12011357001;4;4
12011358001;4;4
12011360001;41;41
12011362001;26;26
12011365001;50;50
12011367001;9;9
12011373001;10;10
12011374001;8;8
12011376001;4;4
12011378001;4;4
12011386001;14;14
12011398001;12;12
12011400001;19;19
12011402001;26;26
12011403001;9;9
12011409001;17;17
12011417001;14;14
12011433001;14;14
12011439001;10;10
12011451001;4;4
12011466001;4;4
12011473001;9;9
12011477001;12;12
12011479001;4;4
12011489001;4;4
12011999001;4;4
12012003001;4;4
12012012001;4;4
12012014001;14;14
12012022001;10;10
12012045001;26;26
12012048001;4;4
12012072001;61;61
12012098001;12;12
12012118001;4;4
12012119001;8;8
12012120001;8;8
12012164001;16;16
12012165001;4;4
12012168001;4;4
12012169001;12;12
12012170001;4;4
12012171001;4;4
12012196001;68;68
12012928001;4;4
12012969001;4;4
12012984001;4;4
12013034001;8;8
12014004001;8;8
12014022001;8;8
12014032001;4;4
12014035001;4;4
12016005001;14;14
12016035001;12;12
12016042001;4;4
12016077001;11;11
12016078001;4;4
12016079001;4;4
12016099001;12;12
12016106001;35;35
12016111001;39;39
12016114001;19;19
12016139001;14;14
12017009001;13;13
12017016001;11;11
12017017001;4;4
12017018001;4;4
12017019001;12;12
12017039001;4;4
12017040001;19;19
12020003001;45;45
12020005003;27;27
12020008001;8;8
12020009001;4;4
12020020001;25;25
12020021001;40;40
12020026001;8;8
12020028001;18;18
12020032003;18;18
12020035001;8;8
12020036001;12;12
12020045001;4;4
12020046001;4;4
12020050001;4;4
12020051001;14;14
12020057001;11;11
12020068001;17;17
12020070001;12;12
12020078001;32;32
12020089001;4;4
12020090001;4;4
12020093001;23;23
12020101001;8;8
12020133001;24;24
12020138001;8;8
12020141001;29;29
12020147001;46;46
12020148001;46;46
12020163001;8;8
12020164001;83;83
12020165001;10;10
