item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
11032015001;4;historical_empirical_quantile;;4
11032016002;24;historical_empirical_quantile;;14
11032017001;3;historical_empirical_quantile;;5
11032021001;9;historical_empirical_quantile;;18
11032024001;22;historical_empirical_quantile;;12
11032026001;4;historical_empirical_quantile;;3
11032027001;10;historical_empirical_quantile;;15
11032028001;6;historical_empirical_quantile;;4
11032031001;2;historical_empirical_quantile;;2
11032035001;4;historical_empirical_quantile;;9
11032036001;5;historical_empirical_quantile;;9
11032043001;2;historical_empirical_quantile;;4
11032220001;13;historical_empirical_quantile;;20
11040001001;21;historical_empirical_quantile;;14
11040003001;6;historical_empirical_quantile;;3
11040006001;24;historical_empirical_quantile;;78
11040007001;4;historical_empirical_quantile;;2
11040008001;7;historical_empirical_quantile;;7
11040009001;26;historical_empirical_quantile;;90
11040010001;26;historical_empirical_quantile;;80
11040011001;1;historical_empirical_quantile;;2
11040018001;6;historical_empirical_quantile;;3
11040020001;3;historical_empirical_quantile;;6
11040023001;2;historical_empirical_quantile;;3
11040026001;8;historical_empirical_quantile;;14
11040027001;6;historical_empirical_quantile;;3
11040029001;53;random_allocation_historical_average_proxy;;1
11040030001;10;historical_empirical_quantile;;21
11040035001;32;historical_empirical_quantile;;103
11040039001;4;historical_empirical_quantile;;23
11040044001;7;historical_empirical_quantile;;11
11040046001;10;historical_empirical_quantile;;23
11040047001;6;historical_empirical_quantile;;5
11040060001;1;historical_empirical_quantile;;2
11040062001;8;historical_empirical_quantile;;3
11041002001;5;historical_empirical_quantile;;9
11041005001;3;historical_empirical_quantile;;6
11041007001;2;historical_empirical_quantile;;8
11041014001;53;random_allocation_historical_average_proxy;;1
11041017001;4;historical_empirical_quantile;;13
11041019001;10;historical_empirical_quantile;;10
11041024001;20;historical_empirical_quantile;;6
11041031001;3;historical_empirical_quantile;;4
11042001001;2;historical_empirical_quantile;;6
11042002001;2;historical_empirical_quantile;;5
11042003001;6;historical_empirical_quantile;;2
11042005001;6;historical_empirical_quantile;;13
11042006001;3;historical_empirical_quantile;;6
11042007001;4;historical_empirical_quantile;;6
11042008001;6;historical_empirical_quantile;;22
11042009001;5;historical_empirical_quantile;;9
11042010001;2;historical_empirical_quantile;;4
11042015001;4;historical_empirical_quantile;;7
11042020001;3;historical_empirical_quantile;;6
11042022001;1;historical_empirical_quantile;;4
11042023001;3;historical_empirical_quantile;;7
11042028001;1;historical_empirical_quantile;;2
11042030001;1;historical_empirical_quantile;;2
11050002001;4;historical_empirical_quantile;;8
11050003001;6;historical_empirical_quantile;;6
11050004001;21;historical_empirical_quantile;;90
11050006001;53;random_allocation_historical_average_proxy;;1
11050008001;53;random_allocation_historical_average_proxy;;1
11050009001;1;historical_empirical_quantile;;4
11050011001;47;historical_empirical_quantile;;27
11050017001;12;historical_empirical_quantile;;66
11050020001;18;historical_empirical_quantile;;58
11050022001;3;historical_empirical_quantile;;7
11050029001;3;historical_empirical_quantile;;18
11050031001;11;historical_empirical_quantile;;19
11050035001;20;historical_empirical_quantile;;87
11050038001;6;historical_empirical_quantile;;17
11050039001;7;historical_empirical_quantile;;12
11050046001;6;historical_empirical_quantile;;14
11050047001;5;historical_empirical_quantile;;6
11050049001;2;historical_empirical_quantile;;7
11050053001;2;historical_empirical_quantile;;6
11050059001;5;historical_empirical_quantile;;11
11050061001;53;random_allocation_historical_average_proxy;;1
11050063001;3;historical_empirical_quantile;;3
11050064001;9;historical_empirical_quantile;;9
11050068001;3;historical_empirical_quantile;;8
11050074001;2;historical_empirical_quantile;;4
11050076001;15;historical_empirical_quantile;;32
11050077001;35;historical_empirical_quantile;;52
11050078001;3;historical_empirical_quantile;;8
11050087001;2;historical_empirical_quantile;;9
11050097001;1;historical_empirical_quantile;;2
11050101001;4;historical_empirical_quantile;;5
11050102001;7;historical_empirical_quantile;;8
11050103001;2;historical_empirical_quantile;;8
11050104001;53;random_allocation_historical_average_proxy;;1
11050111001;53;random_allocation_historical_average_proxy;;1
11050123001;10;historical_empirical_quantile;;10
11050129001;2;historical_empirical_quantile;;7
11050131001;8;historical_empirical_quantile;;12
11050140002;1;historical_empirical_quantile;;2
11051002001;22;historical_empirical_quantile;;60
11051003001;3;historical_empirical_quantile;;3
11051004001;3;historical_empirical_quantile;;5
11051006001;11;historical_empirical_quantile;;46
11051007001;5;historical_empirical_quantile;;10
11051009001;4;historical_empirical_quantile;;6
11051013001;6;historical_empirical_quantile;;29
11051016001;53;random_allocation_historical_average_proxy;;1
11051030001;53;random_allocation_historical_average_proxy;;1
11051037001;6;historical_empirical_quantile;;2
11051039001;1;historical_empirical_quantile;;2
11051044001;7;historical_empirical_quantile;;14
11051999001;2;historical_empirical_quantile;;3
11061001001;1;historical_empirical_quantile;;5
11061005001;1;historical_empirical_quantile;;3
11061008001;5;historical_empirical_quantile;;6
11061011001;3;historical_empirical_quantile;;13
11061015001;2;historical_empirical_quantile;;4
11061016001;2;historical_empirical_quantile;;4
11061023001;5;historical_empirical_quantile;;21
